"","pathway_name","ID","family","mapp_type","category","mapped_ID","mapped_family"
"506","Pantothenate and CoA biosynthesis - Homo sapiens (human)","path:hsa00770","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"507","Vitamin B5 (pantothenate) metabolism","R-HSA-199220","reactome","isPartOf","Pantothenate and CoA biosynthesis - Homo sapiens (human)","path:hsa00770","kegg"
"508","Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)","R-HSA-5619081","reactome","isPartOf","Parkinson disease - Homo sapiens (human)","path:hsa05012","kegg"
"509","Activation and oligomerization of BAK protein","R-HSA-111452","reactome","isPartOf","Pathways in cancer - Homo sapiens (human)","path:hsa05200","kegg"
"510","Defective Mismatch Repair Associated With MSH2","R-HSA-5632928","reactome","isPartOf","Pathways in cancer - Homo sapiens (human)","path:hsa05200","kegg"
"511","AKT-mediated inactivation of FOXO1A","R-HSA-211163","reactome","isPartOf","Pathways in cancer - Homo sapiens (human)","path:hsa05200","kegg"
"512","Cytochrome c-mediated apoptotic response","R-HSA-111461","reactome","isPartOf","Pathways in cancer - Homo sapiens (human)","path:hsa05200","kegg"
"513","Activation of RAS in B cells","R-HSA-1169092","reactome","isPartOf","Pathways in cancer - Homo sapiens (human)","path:hsa05200","kegg"
"514","Defective Mismatch Repair Associated With MSH3","R-HSA-5632927","reactome","isPartOf","Pathways in cancer - Homo sapiens (human)","path:hsa05200","kegg"
"515","Activated point mutants of FGFR2","R-HSA-2033519","reactome","isPartOf","Pathways in cancer - Homo sapiens (human)","path:hsa05200","kegg"
"516","Formation of xylulose-5-phosphate","R-HSA-5661270","reactome","isPartOf","Pentose and glucuronate interconversions - Homo sapiens (human)","path:hsa00040","kegg"
"517","Pentose and glucuronate interconversions - Homo sapiens (human)","path:hsa00040","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"518","Pentose phosphate pathway - Homo sapiens (human)","path:hsa00030","kegg","equivalentTo","Pentose phosphate pathway","R-HSA-71336","reactome"
"519","Peroxisomal lipid metabolism","R-HSA-390918","reactome","isPartOf","Peroxisome - Homo sapiens (human)","path:hsa04146","kegg"
"520","NADPH regeneration","R-HSA-389542","reactome","isPartOf","Peroxisome - Homo sapiens (human)","path:hsa04146","kegg"
"521","Peroxisome - Homo sapiens (human)","path:hsa04146","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"522","Phagosome - Homo sapiens (human)","path:hsa04145","kegg","isPartOf","Adaptive Immune System","R-HSA-1280218","reactome"
"523","ER-Phagosome pathway","R-HSA-1236974","reactome","isPartOf","Phagosome - Homo sapiens (human)","path:hsa04145","kegg"
"524","Phagosome - Homo sapiens (human)","path:hsa04145","kegg","isPartOf","Immune System","R-HSA-168256","reactome"
"525","Phagosome - Homo sapiens (human)","path:hsa04145","kegg","isPartOf","Innate Immune System","R-HSA-168249","reactome"
"526","Phenylalanine metabolism - Homo sapiens (human)","path:hsa00360","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"527","Phenylalanine metabolism - Homo sapiens (human)","path:hsa00360","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"528","Phenylalanine metabolism - Homo sapiens (human)","path:hsa00360","kegg","isPartOf","Amino acid synthesis and interconversion (transamination)","R-HSA-70614","reactome"
"529","Phenylalanine metabolism - Homo sapiens (human)","path:hsa00360","kegg","isPartOf","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","R-HSA-6788656","reactome"
"530","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)","path:hsa00400","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"531","Phenylalanine and tyrosine catabolism","R-HSA-71182","reactome","isPartOf","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)","path:hsa00400","kegg"
"532","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)","path:hsa00400","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"533","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)","path:hsa00400","kegg","isPartOf","Amino acid synthesis and interconversion (transamination)","R-HSA-70614","reactome"
"534","Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)","path:hsa00400","kegg","isPartOf","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","R-HSA-6788656","reactome"
"535","Synthesis of PIPs in the nucleus","R-HSA-8847453","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"536","Synthesis of PIPs at the early endosome membrane","R-HSA-1660516","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"537","Synthesis of PIPs at the late endosome membrane","R-HSA-1660517","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"538","Inositol phosphate metabolism","R-HSA-1483249","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"539","Synthesis of IP3 and IP4 in the cytosol","R-HSA-1855204","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"540","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"541","Synthesis of PIPs at the ER membrane","R-HSA-1483248","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"542","Synthesis of IP2, IP, and Ins in the cytosol","R-HSA-1855183","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"543","Synthesis of PIPs at the plasma membrane","R-HSA-1660499","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"544","Synthesis of IPs in the nucleus","R-HSA-1855191","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"545","Synthesis of PIPs at the Golgi membrane","R-HSA-1660514","reactome","isPartOf","Phosphatidylinositol signaling system - Homo sapiens (human)","path:hsa04070","kegg"
"546","Phosphonate and phosphinate metabolism - Homo sapiens (human)","path:hsa00440","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"547","Phototransduction - Homo sapiens (human)","path:hsa04744","kegg","equivalentTo","Visual phototransduction","R-HSA-2187338","reactome"
"548","Platelet Adhesion to exposed collagen","R-HSA-75892","reactome","isPartOf","Platelet activation - Homo sapiens (human)","path:hsa04611","kegg"
"549","Porphyrin and chlorophyll metabolism - Homo sapiens (human)","path:hsa00860","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"550","Heme degradation","R-HSA-189483","reactome","isPartOf","Porphyrin and chlorophyll metabolism - Homo sapiens (human)","path:hsa00860","kegg"
"551","Metabolism of porphyrins","R-HSA-189445","reactome","isPartOf","Porphyrin and chlorophyll metabolism - Homo sapiens (human)","path:hsa00860","kegg"
"552","Heme biosynthesis","R-HSA-189451","reactome","isPartOf","Porphyrin and chlorophyll metabolism - Homo sapiens (human)","path:hsa00860","kegg"
"553","Primary bile acid biosynthesis - Homo sapiens (human)","path:hsa00120","kegg","isPartOf","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","R-HSA-193368","reactome"
"554","Primary bile acid biosynthesis - Homo sapiens (human)","path:hsa00120","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"555","Primary bile acid biosynthesis - Homo sapiens (human)","path:hsa00120","kegg","isPartOf","Synthesis of bile acids and bile salts","R-HSA-192105","reactome"
"556","Primary bile acid biosynthesis - Homo sapiens (human)","path:hsa00120","kegg","isPartOf","Synthesis of bile acids and bile salts via 24-hydroxycholesterol","R-HSA-193775","reactome"
"557","Primary bile acid biosynthesis - Homo sapiens (human)","path:hsa00120","kegg","isPartOf","Bile acid and bile salt metabolism","R-HSA-194068","reactome"
"558","Prolactin signaling pathway - Homo sapiens (human)","path:hsa04917","kegg","equivalentTo","Prolactin receptor signaling","R-HSA-1170546","reactome"
"559","Propionyl-CoA catabolism","R-HSA-71032","reactome","isPartOf","Propanoate metabolism - Homo sapiens (human)","path:hsa00640","kegg"
"560","Propanoate metabolism - Homo sapiens (human)","path:hsa00640","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"561","GLI3 is processed to GLI3R by the proteasome","R-HSA-5610785","reactome","isPartOf","Proteasome - Homo sapiens (human)","path:hsa03050","kegg"
"562","Ub-specific processing proteases","R-HSA-5689880","reactome","isPartOf","Proteasome - Homo sapiens (human)","path:hsa03050","kegg"
"563","Regulation of activated PAK-2p34 by proteasome mediated degradation","R-HSA-211733","reactome","isPartOf","Proteasome - Homo sapiens (human)","path:hsa03050","kegg"
"564","Proteasome - Homo sapiens (human)","path:hsa03050","kegg","isPartOf","Metabolism of proteins","R-HSA-392499","reactome"
"565","Degradation of GLI1 by the proteasome","R-HSA-5610780","reactome","isPartOf","Proteasome - Homo sapiens (human)","path:hsa03050","kegg"
"566","Degradation of GLI2 by the proteasome","R-HSA-5610783","reactome","isPartOf","Proteasome - Homo sapiens (human)","path:hsa03050","kegg"
"567","Autodegradation of the E3 ubiquitin ligase COP1","R-HSA-349425","reactome","isPartOf","Proteasome - Homo sapiens (human)","path:hsa03050","kegg"
"568","Antigen processing: Ubiquitination & Proteasome degradation","R-HSA-983168","reactome","isPartOf","Proteasome - Homo sapiens (human)","path:hsa03050","kegg"
"569","Protein digestion and absorption - Homo sapiens (human)","path:hsa04974","kegg","isPartOf","Intestinal absorption","R-HSA-8963676","reactome"
"570","Protein digestion and absorption - Homo sapiens (human)","path:hsa04974","kegg","isPartOf","Digestion and absorption","R-HSA-8963743","reactome"
"571","Protein digestion and absorption - Homo sapiens (human)","path:hsa04974","kegg","isPartOf","Metabolism of proteins","R-HSA-392499","reactome"
"572","Protein processing in endoplasmic reticulum - Homo sapiens (human)","path:hsa04141","kegg","isPartOf","Metabolism of proteins","R-HSA-392499","reactome"
"573","Pre-NOTCH Processing in the Endoplasmic Reticulum","R-HSA-1912399","reactome","isPartOf","Protein processing in endoplasmic reticulum - Homo sapiens (human)","path:hsa04141","kegg"
"574","Purine metabolism - Homo sapiens (human)","path:hsa00230","kegg","isPartOf","Nucleobase catabolism","R-HSA-8956319","reactome"
"575","Purine catabolism","R-HSA-74259","reactome","isPartOf","Purine metabolism - Homo sapiens (human)","path:hsa00230","kegg"
"576","Purine ribonucleoside monophosphate biosynthesis","R-HSA-73817","reactome","isPartOf","Purine metabolism - Homo sapiens (human)","path:hsa00230","kegg"
"577","Purine salvage","R-HSA-74217","reactome","isPartOf","Purine metabolism - Homo sapiens (human)","path:hsa00230","kegg"
"578","Purine metabolism - Homo sapiens (human)","path:hsa00230","kegg","isPartOf","Metabolism of nucleotides","R-HSA-15869","reactome"
"579","Pyrimidine catabolism","R-HSA-73621","reactome","isPartOf","Pyrimidine metabolism - Homo sapiens (human)","path:hsa00240","kegg"
"580","Pyrimidine salvage","R-HSA-73614","reactome","isPartOf","Pyrimidine metabolism - Homo sapiens (human)","path:hsa00240","kegg"
"581","Pyrimidine metabolism - Homo sapiens (human)","path:hsa00240","kegg","isPartOf","Metabolism of nucleotides","R-HSA-15869","reactome"
"582","Pyrimidine biosynthesis","R-HSA-500753","reactome","isPartOf","Pyrimidine metabolism - Homo sapiens (human)","path:hsa00240","kegg"
"583","Pyruvate metabolism - Homo sapiens (human)","path:hsa00620","kegg","equivalentTo","Pyruvate metabolism","R-HSA-70268","reactome"
"584","RIG-I-like receptor signaling pathway - Homo sapiens (human)","path:hsa04622","kegg","isPartOf","Immune System","R-HSA-168256","reactome"
"585","RIG-I-like receptor signaling pathway - Homo sapiens (human)","path:hsa04622","kegg","isPartOf","Innate Immune System","R-HSA-168249","reactome"
"586","mRNA decay by 3 to 5 exoribonuclease","R-HSA-429958","reactome","isPartOf","RNA degradation - Homo sapiens (human)","path:hsa03018","kegg"
"587","RNA degradation - Homo sapiens (human)","path:hsa03018","kegg","isPartOf","Metabolism of RNA","R-HSA-8953854","reactome"
"588","mRNA decay by 5 to 3 exoribonuclease","R-HSA-430039","reactome","isPartOf","RNA degradation - Homo sapiens (human)","path:hsa03018","kegg"
"589","Transport of Mature mRNAs Derived from Intronless Transcripts","R-HSA-159234","reactome","isPartOf","RNA transport - Homo sapiens (human)","path:hsa03013","kegg"
"590","Rev-mediated nuclear export of HIV RNA","R-HSA-165054","reactome","isPartOf","RNA transport - Homo sapiens (human)","path:hsa03013","kegg"
"591","Transport of Mature mRNA Derived from an Intronless Transcript","R-HSA-159231","reactome","isPartOf","RNA transport - Homo sapiens (human)","path:hsa03013","kegg"
"592","Transport of the SLBP Dependant Mature mRNA","R-HSA-159230","reactome","isPartOf","RNA transport - Homo sapiens (human)","path:hsa03013","kegg"
"593","Transport of the SLBP independent Mature mRNA","R-HSA-159227","reactome","isPartOf","RNA transport - Homo sapiens (human)","path:hsa03013","kegg"
"594","Rap1 signaling pathway - Homo sapiens (human)","path:hsa04015","kegg","equivalentTo","Rap1 signalling","R-HSA-392517","reactome"
"595","Signaling by RAS mutants","R-HSA-6802949","reactome","isPartOf","Ras signaling pathway - Homo sapiens (human)","path:hsa04014","kegg"
"596","MET activates RAS signaling","R-HSA-8851805","reactome","isPartOf","Ras signaling pathway - Homo sapiens (human)","path:hsa04014","kegg"
"597","CREB phosphorylation through the activation of Ras","R-HSA-442742","reactome","isPartOf","Ras signaling pathway - Homo sapiens (human)","path:hsa04014","kegg"
"598","Regulation of RAS by GAPs","R-HSA-5658442","reactome","isPartOf","Ras signaling pathway - Homo sapiens (human)","path:hsa04014","kegg"
"599","Ras activation upon Ca2+ influx through NMDA receptor","R-HSA-442982","reactome","isPartOf","Ras signaling pathway - Homo sapiens (human)","path:hsa04014","kegg"
"600","Activation of RAS in B cells","R-HSA-1169092","reactome","isPartOf","Ras signaling pathway - Homo sapiens (human)","path:hsa04014","kegg"
"601","RAS signaling downstream of NF1 loss-of-function variants","R-HSA-6802953","reactome","isPartOf","Ras signaling pathway - Homo sapiens (human)","path:hsa04014","kegg"
"602","Regulation of lipolysis in adipocytes - Homo sapiens (human)","path:hsa04923","kegg","isPartOf","Metabolism of lipids","R-HSA-556833","reactome"
"603","Relaxin receptors","R-HSA-444821","reactome","isPartOf","Relaxin signaling pathway - Homo sapiens (human)","path:hsa04926","kegg"
"604","Metabolism of Angiotensinogen to Angiotensins","R-HSA-2022377","reactome","isPartOf","Renin-angiotensin system - Homo sapiens (human)","path:hsa04614","kegg"
"605","Retinol metabolism - Homo sapiens (human)","path:hsa00830","kegg","isPartOf","Vitamins","R-HSA-211916","reactome"
"606","Retinol metabolism - Homo sapiens (human)","path:hsa00830","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"607","Riboflavin metabolism - Homo sapiens (human)","path:hsa00740","kegg","equivalentTo","Vitamin B2 (riboflavin) metabolism","R-HSA-196843","reactome"
"608","rRNA modification in the nucleus and cytosol","R-HSA-6790901","reactome","isPartOf","Ribosome biogenesis in eukaryotes - Homo sapiens (human)","path:hsa03008","kegg"
"609","rRNA processing in the nucleus and cytosol","R-HSA-8868773","reactome","isPartOf","Ribosome biogenesis in eukaryotes - Homo sapiens (human)","path:hsa03008","kegg"
"610","rRNA processing","R-HSA-72312","reactome","isPartOf","Ribosome biogenesis in eukaryotes - Homo sapiens (human)","path:hsa03008","kegg"
"611","Ribosome biogenesis in eukaryotes - Homo sapiens (human)","path:hsa03008","kegg","isPartOf","Metabolism of RNA","R-HSA-8953854","reactome"
"612","SNARE interactions in vesicular transport - Homo sapiens (human)","path:hsa04130","kegg","isPartOf","Vesicle-mediated transport","R-HSA-5653656","reactome"
"613","SNARE interactions in vesicular transport - Homo sapiens (human)","path:hsa04130","kegg","isPartOf","Membrane Trafficking","R-HSA-199991","reactome"
"614","Selenocompound metabolism - Homo sapiens (human)","path:hsa00450","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"615","Selenoamino acid metabolism","R-HSA-2408522","reactome","isPartOf","Selenocompound metabolism - Homo sapiens (human)","path:hsa00450","kegg"
"616","Serotonin receptors","R-HSA-390666","reactome","isPartOf","Serotonergic synapse - Homo sapiens (human)","path:hsa04726","kegg"
"617","Serotonin clearance from the synaptic cleft","R-HSA-380615","reactome","isPartOf","Serotonergic synapse - Homo sapiens (human)","path:hsa04726","kegg"
"618","POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation","R-HSA-2892245","reactome","isPartOf","Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)","path:hsa04550","kegg"
"619","Signaling by FGFR1 amplification mutants","R-HSA-1839120","reactome","isPartOf","Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)","path:hsa04550","kegg"
"620","Signaling by FGFR2 amplification mutants","R-HSA-2023837","reactome","isPartOf","Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)","path:hsa04550","kegg"
"621","Sphingolipid metabolism - Homo sapiens (human)","path:hsa00600","kegg","equivalentTo","Sphingolipid metabolism","R-HSA-428157","reactome"
"622","Spliceosome - Homo sapiens (human)","path:hsa03040","kegg","isPartOf","Processing of Capped Intronless Pre-mRNA","R-HSA-75067","reactome"
"623","Spliceosome - Homo sapiens (human)","path:hsa03040","kegg","isPartOf","mRNA Splicing","R-HSA-72172","reactome"
"624","Spliceosome - Homo sapiens (human)","path:hsa03040","kegg","isPartOf","Metabolism of RNA","R-HSA-8953854","reactome"
"625","Spliceosome - Homo sapiens (human)","path:hsa03040","kegg","isPartOf","mRNA Splicing - Major Pathway","R-HSA-72163","reactome"
"626","Spliceosome - Homo sapiens (human)","path:hsa03040","kegg","isPartOf","Gene expression (Transcription)","R-HSA-74160","reactome"
"627","Spliceosome - Homo sapiens (human)","path:hsa03040","kegg","isPartOf","mRNA Splicing - Minor Pathway","R-HSA-72165","reactome"
"628","Spliceosome - Homo sapiens (human)","path:hsa03040","kegg","isPartOf","Processing of Capped Intron-Containing Pre-mRNA","R-HSA-72203","reactome"
"629","Spliceosome - Homo sapiens (human)","path:hsa03040","kegg","isPartOf","RNA Polymerase II Transcription Termination","R-HSA-73856","reactome"
"630","Starch and sucrose metabolism - Homo sapiens (human)","path:hsa00500","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"631","Starch and sucrose metabolism - Homo sapiens (human)","path:hsa00500","kegg","isPartOf","Metabolism of carbohydrates","R-HSA-71387","reactome"
"632","Steroid biosynthesis - Homo sapiens (human)","path:hsa00100","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"633","Steroid biosynthesis - Homo sapiens (human)","path:hsa00100","kegg","isPartOf","Metabolism of steroids","R-HSA-8957322","reactome"
"634","Steroid hormone biosynthesis - Homo sapiens (human)","path:hsa00140","kegg","isPartOf","Metabolism of steroid hormones","R-HSA-196071","reactome"
"635","Estrogen biosynthesis","R-HSA-193144","reactome","isPartOf","Steroid hormone biosynthesis - Homo sapiens (human)","path:hsa00140","kegg"
"636","Glucocorticoid biosynthesis","R-HSA-194002","reactome","isPartOf","Steroid hormone biosynthesis - Homo sapiens (human)","path:hsa00140","kegg"
"637","Steroid hormone biosynthesis - Homo sapiens (human)","path:hsa00140","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"638","Mineralocorticoid biosynthesis","R-HSA-193993","reactome","isPartOf","Steroid hormone biosynthesis - Homo sapiens (human)","path:hsa00140","kegg"
"639","Sulfur metabolism - Homo sapiens (human)","path:hsa00920","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"640","Sulfur metabolism - Homo sapiens (human)","path:hsa00920","kegg","isPartOf","Sulfur amino acid metabolism","R-HSA-1614635","reactome"
"641","Sulfur metabolism - Homo sapiens (human)","path:hsa00920","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"642","Synaptic vesicle cycle - Homo sapiens (human)","path:hsa04721","kegg","isPartOf","Vesicle-mediated transport","R-HSA-5653656","reactome"
"643","Synthesis and degradation of ketone bodies - Homo sapiens (human)","path:hsa00072","kegg","equivalentTo","Ketone body metabolism","R-HSA-74182","reactome"
"644","Synthesis and degradation of ketone bodies - Homo sapiens (human)","path:hsa00072","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"645","Nef mediated downregulation of CD28 cell surface expression","R-HSA-164939","reactome","isPartOf","T cell receptor signaling pathway - Homo sapiens (human)","path:hsa04660","kegg"
"646","T cell receptor signaling pathway - Homo sapiens (human)","path:hsa04660","kegg","isPartOf","Immune System","R-HSA-168256","reactome"
"647","CD28 dependent Vav1 pathway","R-HSA-389359","reactome","isPartOf","T cell receptor signaling pathway - Homo sapiens (human)","path:hsa04660","kegg"
"648","CD28 co-stimulation","R-HSA-389356","reactome","isPartOf","T cell receptor signaling pathway - Homo sapiens (human)","path:hsa04660","kegg"
"649","TGF-beta signaling pathway - Homo sapiens (human)","path:hsa04350","kegg","equivalentTo","Signaling by TGF-beta family members","R-HSA-9006936","reactome"
"650","TNF signaling pathway - Homo sapiens (human)","path:hsa04668","kegg","equivalentTo","TNF signaling","R-HSA-75893","reactome"
"651","Taurine and hypotaurine metabolism - Homo sapiens (human)","path:hsa00430","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"652","Terpenoid backbone biosynthesis - Homo sapiens (human)","path:hsa00900","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"653","Th1 and Th2 cell differentiation - Homo sapiens (human)","path:hsa04658","kegg","isPartOf","Adaptive Immune System","R-HSA-1280218","reactome"
"654","Th17 cell differentiation - Homo sapiens (human)","path:hsa04659","kegg","isPartOf","Immune System","R-HSA-168256","reactome"
"655","Thermogenesis - Homo sapiens (human)","path:hsa04714","kegg","isPartOf","Formation of ATP by chemiosmotic coupling","R-HSA-163210","reactome"
"656","Thermogenesis - Homo sapiens (human)","path:hsa04714","kegg","isPartOf","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","R-HSA-163200","reactome"
"657","Thermogenesis - Homo sapiens (human)","path:hsa04714","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"658","Thermogenesis - Homo sapiens (human)","path:hsa04714","kegg","isPartOf","Respiratory electron transport","R-HSA-611105","reactome"
"659","Thiamine metabolism - Homo sapiens (human)","path:hsa00730","kegg","equivalentTo","Vitamin B1 (thiamin) metabolism","R-HSA-196819","reactome"
"660","Thiamine metabolism - Homo sapiens (human)","path:hsa00730","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"661","Regulation of thyroid hormone activity","R-HSA-350864","reactome","isPartOf","Thyroid hormone signaling pathway - Homo sapiens (human)","path:hsa04919","kegg"
"662","Thyroid hormone synthesis - Homo sapiens (human)","path:hsa04918","kegg","equivalentTo","Thyroxine biosynthesis","R-HSA-209968","reactome"
"663","Tight junction - Homo sapiens (human)","path:hsa04530","kegg","equivalentTo","Tight junction interactions","R-HSA-420029","reactome"
"664","RUNX1 regulates expression of components of tight junctions","R-HSA-8935964","reactome","isPartOf","Tight junction - Homo sapiens (human)","path:hsa04530","kegg"
"665","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg","equivalentTo","Toll-Like Receptors Cascades","R-HSA-168898","reactome"
"666","Toll Like Receptor 4 (TLR4) Cascade","R-HSA-166016","reactome","isPartOf","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg"
"667","Toll Like Receptor 2 (TLR2) Cascade","R-HSA-181438","reactome","isPartOf","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg"
"668","Toll Like Receptor TLR6:TLR2 Cascade","R-HSA-168188","reactome","isPartOf","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg"
"669","Toll Like Receptor 5 (TLR5) Cascade","R-HSA-168176","reactome","isPartOf","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg"
"670","Toll Like Receptor 10 (TLR10) Cascade","R-HSA-168142","reactome","isPartOf","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg"
"671","Toll Like Receptor TLR1:TLR2 Cascade","R-HSA-168179","reactome","isPartOf","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg"
"672","Toll Like Receptor 9 (TLR9) Cascade","R-HSA-168138","reactome","isPartOf","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg"
"673","Toll Like Receptor 3 (TLR3) Cascade","R-HSA-168164","reactome","isPartOf","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg"
"674","Toll Like Receptor 7/8 (TLR7/8) Cascade","R-HSA-168181","reactome","isPartOf","Toll-like receptor signaling pathway - Homo sapiens (human)","path:hsa04620","kegg"
"675","Tryptophan catabolism","R-HSA-71240","reactome","isPartOf","Tryptophan metabolism - Homo sapiens (human)","path:hsa00380","kegg"
"676","Tyrosine metabolism - Homo sapiens (human)","path:hsa00350","kegg","isPartOf","Amino acid synthesis and interconversion (transamination)","R-HSA-70614","reactome"
"677","Tyrosine metabolism - Homo sapiens (human)","path:hsa00350","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"678","Phenylalanine and tyrosine catabolism","R-HSA-71182","reactome","isPartOf","Tyrosine metabolism - Homo sapiens (human)","path:hsa00350","kegg"
"679","Tyrosine metabolism - Homo sapiens (human)","path:hsa00350","kegg","isPartOf","Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism","R-HSA-6788656","reactome"
"680","Tyrosine metabolism - Homo sapiens (human)","path:hsa00350","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"681","Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)","path:hsa00130","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"682","Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)","path:hsa00130","kegg","isPartOf","Metabolism of vitamins and cofactors","R-HSA-196854","reactome"
"683","Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)","path:hsa00290","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"684","Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)","path:hsa00290","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"685","Valine, leucine and isoleucine degradation - Homo sapiens (human)","path:hsa00280","kegg","isPartOf","Branched-chain amino acid catabolism","R-HSA-70895","reactome"
"686","Valine, leucine and isoleucine degradation - Homo sapiens (human)","path:hsa00280","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"687","Valine, leucine and isoleucine degradation - Homo sapiens (human)","path:hsa00280","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"688","Vascular smooth muscle contraction - Homo sapiens (human)","path:hsa04270","kegg","isPartOf","Smooth Muscle Contraction","R-HSA-445355","reactome"
"689","Vascular smooth muscle contraction - Homo sapiens (human)","path:hsa04270","kegg","isPartOf","Muscle contraction","R-HSA-397014","reactome"
"690","Vasopressin-regulated water reabsorption - Homo sapiens (human)","path:hsa04962","kegg","equivalentTo","Vasopressin regulates renal water homeostasis via Aquaporins","R-HSA-432040","reactome"
"691","Vitamin B6 metabolism - Homo sapiens (human)","path:hsa00750","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"692","Vitamin B6 metabolism - Homo sapiens (human)","path:hsa00750","kegg","isPartOf","Metabolism of water-soluble vitamins and cofactors","R-HSA-196849","reactome"
"693","Vitamin B6 metabolism - Homo sapiens (human)","path:hsa00750","kegg","isPartOf","Metabolism of vitamins and cofactors","R-HSA-196854","reactome"
"694","Vitamins B6 activation to pyridoxal phosphate","R-HSA-964975","reactome","isPartOf","Vitamin B6 metabolism - Homo sapiens (human)","path:hsa00750","kegg"
